id,label
10050004,Contusion of chest (disorder)
10057001,Chronic lichenoid pityriasis (disorder)
10065003,Excoriated acne (disorder)
10087007,Infection caused by Schistosoma (disorder)
10132008,Burns of multiple sites (disorder)
10184002,Recurrent cholangitis (disorder)
10200004,Liver structure (body structure)
1023001,Apnea (finding)
102343009,Bullet caliber (qualifier value)
102448004,Drug-induced dyskinesia (disorder)
160392000,Family history: Breast disease (situation)
160476009,Social / personal history observable (observable entity)
160507001,Abandoned child (finding)
160592001,Alcohol intake above recommended sensible limits (finding)
102485007,Personal risk factor (observable entity)
102496004,Spiking fever (finding)
102499006,Fit and well (finding)
102500002,Good neonatal condition at birth (finding)
160777004,Home help needed (finding)
160802003,Violent spouse (finding)
160822004,Relationship problems (finding)
160895006,Stopped work (finding)
160932005,Financial problem (finding)
160957000,Sudden infant death (event)
160968000,Risk activity involvement (finding)
160980008,Statutory sick pay (qualifier value)
161112004,Illiteracy (finding)
161138004,Literacy problems (finding)
102556003,Pain in upper limb (finding)
102558002,Edema of the upper extremity (finding)
102564009,Edema of hand (finding)
102568007,Paresis of lower extremity (finding)
102569004,Decreased range of hip movement (finding)
102570003,Inguinal pain (finding)
102572006,Edema of lower extremity (finding)
102576009,Edema of foot (finding)
102588006,Chest wall pain (finding)
102589003,Atypical chest pain (finding)
161712005,"Menopause, function (observable entity)"
161714006,Estimated date of delivery (observable entity)
161732006,Gravida (observable entity)
102603008,Numbness of skin (finding)
102610002,Inadequate food diet (finding)
102612005,Alcohol intolerance (finding)
102613000,Localized abdominal pain (finding)
102614006,Generalized abdominal pain (finding)
161898004,Falls (finding)
102618009,Pharyngeal dryness (finding)
102619001,Pain in esophagus (finding)
102622004,Regurgitation of food (finding)
161969004,Fluttering heart (finding)
161973001,Anterior chest wall pain (finding)
102626001,Liver pain (finding)
162020001,Difficulty chewing (finding)
162024005,Difficulty swallowing solids (finding)
162025006,Difficulty swallowing fluid (finding)
162031009,Indigestion (finding)
162046002,Central abdominal pain (finding)
162051008,Right iliac fossa pain (finding)
162052001,Left iliac fossa pain (finding)
162116003,Increased frequency of urination (finding)
162138001,Genitourinary pain (finding)
162143008,Pain in female genitalia (finding)
162145001,Vulval pain (finding)
162221009,Restlessness (finding)
162278001,Floaters in visual field (finding)
162652000,Brief examination of patient (procedure)
162673000,General examination of patient (procedure)
162676008,Brief general examination (procedure)
162981002,Brief examination of cardiovascular system (procedure)
162983004,Full cardiovascular system examination (procedure)
102835006,Difficulty passing urine (finding)
164135002,Examination of hemopoietic system (procedure)
102846009,Urinary sediment (finding)
102866000,Abnormal urine (finding)
102888000,Thelarche (finding)
102889008,Premature development of the breasts (finding)
102898006,Emotional relationship (finding)
102899003,Abusive emotional relationship (finding)
164791003,Helicobacter pylori breath test (procedure)
102912007,Fear of death (finding)
164850009,Ambulatory electrocardiogram (procedure)
102915009,Nosophobia (finding)
102919003,Fear of infection (finding)
102920009,Fear of contracting human immunodeficiency virus infection (finding)
164949005,QRS complex feature (observable entity)
165033004,Respiratory flow rate (observable entity)
165102003,Metabolic function test (procedure)
165109007,Basal metabolic rate (observable entity)
102943000,Personality change (finding)
102949001,Excessive masturbation (finding)
10295004,Chronic viral hepatitis (disorder)
165199000,Social services case conference (procedure)
165479004,Poikilocytosis (finding)
165498002,Red blood cell enzyme test (procedure)
