sourceId,destinationId,rel
10050004,36787001,is-a
10050004,65978000,is-a
10057001,128236002,is-a
10057001,200983001,is-a
10065003,11381005,is-a
10087007,105661001,is-a
10132008,125666000,is-a
10184002,82403002,is-a
10200004,303270005,is-a
1023001,106049001,is-a
102343009,81827009,is-a
102448004,47362003,is-a
160392000,281666001,is-a
160476009,363787002,is-a
160507001,365580001,is-a
160592001,365967005,is-a
102485007,80943009,is-a
102496004,365977007,is-a
102499006,82832008,is-a
102499006,365275006,is-a
102500002,102499006,is-a
102500002,364737004,is-a
102500002,118215003,is-a
160777004,365487001,is-a
160802003,39072000,is-a
160822004,225706007,is-a
160895006,365525008,is-a
160932005,365550006,is-a
160957000,240297000,is-a
160968000,844005,is-a
160980008,224774000,is-a
160980008,266975006,is-a
161112004,161138004,is-a
161138004,4506002,is-a
102556003,90834002,is-a
102558002,116307009,is-a
102564009,116311003,is-a
102568007,116312005,is-a
102568007,26544005,is-a
102569004,366560007,is-a
102570003,30473006,is-a
102572006,116312005,is-a
102576009,116316008,is-a
102588006,29857009,is-a
102589003,29857009,is-a
161712005,289907007,is-a
161714006,364324000,is-a
161732006,364324000,is-a
102603008,297971001,is-a
102603008,44077006,is-a
102610002,88202002,is-a
102612005,82832008,is-a
102613000,112104007,is-a
102613000,21522001,is-a
102614006,21522001,is-a
161898004,298343000,is-a
102618009,116338005,is-a
102619001,301362007,is-a
102622004,78104003,is-a
161969004,80313002,is-a
161973001,102588006,is-a
102626001,300333002,is-a
162020001,364793003,is-a
162024005,364799004,is-a
162025006,364801001,is-a
162031009,300390002,is-a
162046002,21522001,is-a
162051008,247354009,is-a
162052001,247354009,is-a
162116003,300471006,is-a
162138001,30473006,is-a
162143008,162138001,is-a
162145001,162143008,is-a
162221009,28277004,is-a
162278001,246638009,is-a
162652000,67879005,is-a
162673000,5880005,is-a
162676008,162652000,is-a
162981002,43038000,is-a
162983004,43038000,is-a
102835006,366273005,is-a
164135002,284366008,is-a
102846009,365433007,is-a
102866000,301830001,is-a
102888000,116339002,is-a
102889008,366349004,is-a
102889008,102888000,is-a
102898006,106126000,is-a
102899003,102898006,is-a
164791003,268367003,is-a
102912007,247855001,is-a
164850009,46825001,is-a
102915009,247855001,is-a
102919003,247866008,is-a
102920009,102919003,is-a
164949005,250865004,is-a
165033004,251880004,is-a
165102003,64777005,is-a
165109007,364392006,is-a
102943000,106139001,is-a
102949001,17704007,is-a
10295004,3738000,is-a
10295004,76783007,is-a
10295004,177010002,is-a
165199000,229058001,is-a
165479004,365621008,is-a
165498002,33468001,is-a
165511009,767002,is-a
103014001,11679003,is-a
165813002,121258006,is-a
165816005,365866002,is-a
103016004,11679003,is-a
103020000,106176003,is-a
103020000,365400002,is-a
103021001,103020000,is-a
103069003,40924008,is-a
103089002,72909000,is-a
103089002,259648002,is-a
167202006,252222003,is-a
103228002,86084001,is-a
168172001,165102003,is-a
10327003,46975003,is-a
168836005,315294004,is-a
168854009,303774000,is-a
168864000,303774000,is-a
168864000,118856009,is-a
103324002,106227002,is-a
168908004,303777007,is-a
168908004,118750007,is-a
168917004,303791001,is-a
169066007,303653007,is-a
169067003,303653007,is-a
169067003,118691003,is-a
10335000,48447003,is-a
169278002,55284006,is-a
169280008,169278002,is-a
169443000,362961001,is-a
169740003,364651009,is-a
169741004,364769008,is-a
169811007,364319003,is-a
169826009,281050002,is-a
169827000,237364002,is-a
169828005,281050002,is-a
169828005,28030000,is-a
103423009,41146007,is-a
169876006,363812007,is-a
169886007,364591003,is-a
169952004,289262005,is-a
170099002,243788004,is-a
171012002,243064009,is-a
171071003,306977006,is-a
171121004,243791004,is-a
171125008,243790003,is-a
171131006,15758002,is-a
171149006,15886004,is-a
171224000,80943009,is-a
171233003,312851005,is-a
171343002,79206001,is-a
171350003,171343002,is-a
171358005,103736005,is-a
171367005,79206001,is-a
171371008,171367005,is-a
171394009,103739003,is-a
171397002,79206001,is-a
171400006,53807006,is-a
171400006,171397002,is-a
171401005,243793001,is-a
171405001,171397002,is-a
171405001,53807006,is-a
171408004,79206001,is-a
171409007,79206001,is-a
171410002,171409007,is-a
171413000,79206001,is-a
171472002,171471009,is-a
171496007,46342000,is-a
171560006,118879005,is-a
10362008,57497006,is-a
103629003,46595003,is-a
171947007,52699005,is-a
171948002,171947007,is-a
172069000,171131006,is-a
103693007,362961001,is-a
103695000,310417005,is-a
103696004,281100006,is-a
103712006,19207007,is-a
103712006,276272002,is-a
103715008,276272002,is-a
103735009,225365006,is-a
103735009,362964009,is-a
103736005,79206001,is-a
103736005,63332003,is-a
103739003,79206001,is-a
103739003,63332003,is-a
172801000,232474008,is-a
103742009,16076005,is-a
172859007,118831003,is-a
173006001,307180000,is-a
173170008,359623004,is-a
173171007,119746007,is-a
173291009,55162003,is-a
173300003,64572001,is-a
103800002,127791007,is-a
10380004,52011008,is-a
103806008,86236002,is-a
103816000,67241009,is-a
103830005,58543006,is-a
103853006,252281007,is-a
173830003,118830002,is-a
173841001,16453004,is-a
103863003,49790006,is-a
174080004,315321001,is-a
103886005,44608003,is-a
103894003,44608003,is-a
103895002,44608003,is-a
103899008,44608003,is-a
103906009,44608003,is-a
103910007,44608003,is-a
103913009,44608003,is-a
10392004,128052008,is-a
174511002,15555002,is-a
103932003,44608003,is-a
10394003,91502009,is-a
174776001,234319005,is-a
103969000,127795003,is-a
10399008,75598001,is-a
175176000,42030000,is-a
175212004,233199008,is-a
175253007,233207009,is-a
175253007,119809001,is-a
175615007,233404000,is-a
175898006,118851004,is-a
104113002,59388001,is-a
104115009,104113002,is-a
104116005,104113002,is-a
104130000,104157003,is-a
104130000,14768001,is-a
104133003,77820007,is-a
176481007,236344004,is-a
176498007,35216007,is-a
176499004,233424001,is-a
104144006,33468001,is-a
176589007,22394005,is-a
176593001,176589007,is-a
176599002,36901005,is-a
104157003,117259009,is-a
104172004,61594008,is-a
176795006,116141005,is-a
176820000,68688001,is-a
104176001,104172004,is-a
104176001,104178000,is-a
104178000,61594008,is-a
104190003,61594008,is-a
176994003,65852005,is-a
177010002,27624003,is-a
177010002,40733004,is-a
177047002,21228001,is-a
177418003,367643001,is-a
177418003,125671007,is-a
104270000,47889002,is-a
177737006,313027006,is-a
177737006,245541002,is-a
104276006,8992008,is-a
104277002,104276006,is-a
104279004,8992008,is-a
104280001,8992008,is-a
104281002,8992008,is-a
104284005,8992008,is-a
104285006,8992008,is-a
104286007,8992008,is-a
104287003,8992008,is-a
104288008,8992008,is-a
104291008,8992008,is-a
104294000,8992008,is-a
104297007,8992008,is-a
104301003,121258006,is-a
104303000,121258006,is-a
104305007,118121008,is-a
104307004,121258006,is-a
104308009,104305007,is-a
104311005,121258006,is-a
178124003,657004,is-a
104314002,121258006,is-a
178156005,281766007,is-a
178157001,281766007,is-a
104316000,121258006,is-a
104318004,88667002,is-a
104325006,121258006,is-a
104328008,121258006,is-a
104328008,314067002,is-a
178280004,40609001,is-a
178280004,80113008,is-a
104332002,31676001,is-a
178485006,56036004,is-a
178517008,239541009,is-a
178530009,239541009,is-a
178534000,178530009,is-a
178583001,302130002,is-a
178600005,302129007,is-a
104380004,121258006,is-a
104381000,104380004,is-a
104387001,104380004,is-a
104390007,314067002,is-a
104390007,359812000,is-a
104399008,77159001,is-a
104401002,359812000,is-a
104401002,314067002,is-a
179029002,311420007,is-a
104409000,45101000,is-a
179109001,239282005,is-a
104416004,104410005,is-a
104417008,55284006,is-a
179229008,178832008,is-a
10446001,6042001,is-a
104471003,122444009,is-a
104471003,250300004,is-a
104485008,26758005,is-a
179856001,239461001,is-a
180016001,76956004,is-a
180030006,119686008,is-a
180047007,180045004,is-a
10451007,93064005,is-a
10451007,79439001,is-a
180234006,128116006,is-a
104530006,104496000,is-a
104531005,104496000,is-a
180289009,118480003,is-a
180325003,281572005,is-a
104568008,74040009,is-a
104613001,74500006,is-a
104613001,16614002,is-a
104630004,74040009,is-a
104649000,122444009,is-a
104660009,122446006,is-a
181768009,245255009,is-a
10469003,43339004,is-a
10469003,128289001,is-a
104692005,122444009,is-a
104713006,74040009,is-a
104714000,74040009,is-a
182159002,56717001,is-a
104739009,122445005,is-a
104749007,121852004,is-a
182353008,272424004,is-a
104765008,121277008,is-a
104772009,115340009,is-a
182750009,182744004,is-a
182750009,341939001,is-a
182793009,281691001,is-a
104798003,122444009,is-a
104830002,122446006,is-a
104848006,278297009,is-a
104848006,74040009,is-a
183515008,306253008,is-a
183529009,306253008,is-a
183541002,306253008,is-a
183543004,306180006,is-a
183561008,306253008,is-a
104889009,122445005,is-a
10491005,58170007,is-a
104923007,122446006,is-a
